gene,n_patho,n_benign,am_patho_recall,am_benign_recall,am_balanced_accuracy
TP53,142,97,0.9436619718309859,0.8865979381443299,0.9151299549876579
SCN2A,420,31,0.9261904761904762,0.9032258064516129,0.9147081413210445
COL2A1,489,129,0.9815950920245399,0.8449612403100775,0.9132781661673086
MSH6,73,81,0.8904109589041096,0.9259259259259259,0.9081684424150178
MYO7A,176,39,0.9090909090909091,0.8974358974358975,0.9032634032634033
SCN1A,1037,63,0.9334619093539055,0.873015873015873,0.9032388911848892
ATP7A,42,202,0.8809523809523809,0.9108910891089109,0.8959217350306459
BRCA1,120,360,0.8333333333333334,0.9527777777777777,0.8930555555555555
VHL,180,35,0.9555555555555556,0.8285714285714286,0.8920634920634921
LDLR,739,41,0.8267929634641408,0.9512195121951219,0.8890062378296313
RET,81,47,0.7530864197530864,1.0,0.8765432098765432
TSC2,186,198,0.9139784946236559,0.8383838383838383,0.8761811665037471
SCN8A,284,39,0.9366197183098591,0.7692307692307693,0.8529252437703142
MLH1,200,37,0.905,0.7837837837837838,0.8443918918918919
COL5A1,41,205,0.8536585365853658,0.8341463414634146,0.8439024390243902
ABCA4,659,33,0.6813353566009105,1.0,0.8406676783004552
PMS2,37,50,0.6756756756756757,1.0,0.8378378378378378
ENG,94,110,0.7021276595744681,0.9727272727272728,0.8374274661508705
MSH2,153,304,0.9281045751633987,0.7401315789473685,0.8341180770553835
PTEN,180,3,0.9777777777777777,0.6666666666666666,0.8222222222222222
RB1,41,64,0.5853658536585366,0.96875,0.7770579268292683
MYBPC3,37,35,0.4594594594594595,0.9428571428571428,0.7011583011583011
