held_out,precision_benign,recall_benign,precision_patho,recall_patho,n_benign_test,n_patho_test,balanced_accuracy
ABCA4,0.13675213675213677,0.48484848484848486,0.9704347826086956,0.8467374810318664,33,659,0.6657929829401756
ATP7A,0.9174757281553398,0.9356435643564357,0.6578947368421053,0.5952380952380952,202,42,0.7654408297972655
BRCA1,0.9057142857142857,0.8805555555555555,0.6692307692307692,0.725,360,120,0.8027777777777778
COL1A1,0.13506493506493505,0.6341463414634146,0.8477157360406091,0.334,82,500,0.4840731707317073
COL2A1,0.17804154302670624,0.46511627906976744,0.7544483985765125,0.4335378323108384,129,489,0.44932705569030296
COL5A1,0.8373205741626795,0.8536585365853658,0.1891891891891892,0.17073170731707318,205,41,0.5121951219512195
ENG,0.7007874015748031,0.8090909090909091,0.7272727272727273,0.5957446808510638,110,94,0.7024177949709864
HNF1A,0.4025974025974026,0.8857142857142857,0.9603960396039604,0.6783216783216783,35,143,0.782017982017982
LDLR,0.2631578947368421,0.36585365853658536,0.9640387275242047,0.9431664411366711,41,739,0.6545100498366283
MLH1,0.4,0.7027027027027027,0.936046511627907,0.805,37,200,0.7538513513513514
MSH2,0.9004149377593361,0.7138157894736842,0.5972222222222222,0.8431372549019608,304,153,0.7784765221878225
MSH6,0.6476190476190476,0.8395061728395061,0.7346938775510204,0.4931506849315068,81,73,0.6663284288855065
MYBPC3,0.5081967213114754,0.8857142857142857,0.6363636363636364,0.1891891891891892,35,37,0.5374517374517375
MYO7A,0.27419354838709675,0.8717948717948718,0.945054945054945,0.48863636363636365,39,176,0.6802156177156178
PMS2,0.6533333333333333,0.98,0.9166666666666666,0.2972972972972973,50,37,0.6386486486486487
PTEN,0.0,0.0,0.9826589595375722,0.9444444444444444,3,180,0.4722222222222222
RB1,0.7209302325581395,0.96875,0.8947368421052632,0.4146341463414634,64,41,0.6916920731707317
RET,0.4943820224719101,0.9361702127659575,0.9230769230769231,0.4444444444444444,47,81,0.6903073286052009
SCN1A,0.3813559322033898,0.7142857142857143,0.9816700610997964,0.9296046287367405,63,1037,0.8219451715112274
SCN2A,0.3068181818181818,0.8709677419354839,0.9889807162534435,0.8547619047619047,31,420,0.8628648233486943
SCN8A,0.31,0.7948717948717948,0.9641255605381166,0.7570422535211268,39,284,0.7759570241964608
TP53,0.8611111111111112,0.6391752577319587,0.7904191616766467,0.9295774647887324,97,142,0.7843763612603456
TSC2,0.7385321100917431,0.8131313131313131,0.7771084337349398,0.6935483870967742,198,186,0.7533398501140437
VHL,0.8,0.45714285714285713,0.9025641025641026,0.9777777777777777,35,180,0.7174603174603175
