held_out,precision_benign,recall_benign,precision_patho,recall_patho,n_benign_test,n_patho_test,balanced_accuracy
ABCA4,0.13675213675213677,0.48484848484848486,0.9704347826086956,0.8467374810318664,33,659,0.6657929829401756
ATP7A,0.9170731707317074,0.9306930693069307,0.6410256410256411,0.5952380952380952,202,42,0.762965582272513
BRCA1,0.9161849710982659,0.8805555555555555,0.6791044776119403,0.7583333333333333,360,120,0.8194444444444444
COL1A1,0.13385826771653545,0.6219512195121951,0.845771144278607,0.34,82,500,0.48097560975609754
COL2A1,0.17302052785923755,0.4573643410852713,0.7472924187725631,0.4233128834355828,129,489,0.44033861226042703
COL5A1,0.8373205741626795,0.8536585365853658,0.1891891891891892,0.17073170731707318,205,41,0.5121951219512195
ENG,0.7063492063492064,0.8090909090909091,0.7307692307692307,0.6063829787234043,110,94,0.7077369439071567
HNF1A,0.4025974025974026,0.8857142857142857,0.9603960396039604,0.6783216783216783,35,143,0.782017982017982
LDLR,0.2631578947368421,0.36585365853658536,0.9640387275242047,0.9431664411366711,41,739,0.6545100498366283
MLH1,0.4,0.7027027027027027,0.936046511627907,0.805,37,200,0.7538513513513514
MSH2,0.9008264462809917,0.7171052631578947,0.6,0.8431372549019608,304,153,0.7801212590299278
MSH6,0.6538461538461539,0.8395061728395061,0.74,0.5068493150684932,81,73,0.6731777439539997
MYBPC3,0.5081967213114754,0.8857142857142857,0.6363636363636364,0.1891891891891892,35,37,0.5374517374517375
MYO7A,0.27419354838709675,0.8717948717948718,0.945054945054945,0.48863636363636365,39,176,0.6802156177156178
PMS2,0.6533333333333333,0.98,0.9166666666666666,0.2972972972972973,50,37,0.6386486486486487
PTEN,0.0,0.0,0.9828571428571429,0.9555555555555556,3,180,0.4777777777777778
RB1,0.7176470588235294,0.953125,0.85,0.4146341463414634,64,41,0.6838795731707317
RET,0.4888888888888889,0.9361702127659575,0.9210526315789473,0.43209876543209874,47,81,0.6841344890990281
SCN1A,0.3813559322033898,0.7142857142857143,0.9816700610997964,0.9296046287367405,63,1037,0.8219451715112274
SCN2A,0.30337078651685395,0.8709677419354839,0.988950276243094,0.8523809523809524,31,420,0.8616743471582181
SCN8A,0.31,0.7948717948717948,0.9641255605381166,0.7570422535211268,39,284,0.7759570241964608
TP53,0.8611111111111112,0.6391752577319587,0.7904191616766467,0.9295774647887324,97,142,0.7843763612603456
TSC2,0.7453703703703703,0.8131313131313131,0.7797619047619048,0.7043010752688172,198,186,0.7587161942000652
VHL,0.8,0.45714285714285713,0.9025641025641026,0.9777777777777777,35,180,0.7174603174603175
