held_out,precision_benign,recall_benign,precision_patho,recall_patho,n_benign_test,n_patho_test,balanced_accuracy
ABCA4,0.11538461538461539,0.36363636363636365,0.9642857142857143,0.8603945371775418,33,659,0.6120154504069527
ATP7A,0.9082125603864735,0.9306930693069307,0.6216216216216216,0.5476190476190477,202,42,0.7391560584629893
BRCA1,0.9154518950437318,0.8722222222222222,0.6642335766423357,0.7583333333333333,360,120,0.8152777777777778
COL1A1,0.16203703703703703,0.8536585365853658,0.92,0.276,82,500,0.564829268292683
COL2A1,0.22053231939163498,0.8992248062015504,0.8586956521739131,0.16155419222903886,129,489,0.5303894992152947
COL5A1,0.8592233009708737,0.8634146341463415,0.3,0.2926829268292683,205,41,0.5780487804878048
ENG,0.6504854368932039,0.6090909090909091,0.5742574257425742,0.6170212765957447,110,94,0.6130560928433268
HNF1A,0.44594594594594594,0.9428571428571428,0.9807692307692307,0.7132867132867133,35,143,0.8280719280719281
LDLR,0.35294117647058826,0.43902439024390244,0.9684499314128944,0.9553450608930988,41,739,0.6971847255685006
MLH1,0.4,0.5945945945945946,0.9175824175824175,0.835,37,200,0.7147972972972974
MSH2,0.8982300884955752,0.6677631578947368,0.5627705627705628,0.8496732026143791,304,153,0.758718180254558
MSH6,0.6607142857142857,0.9135802469135802,0.8333333333333334,0.4794520547945205,81,73,0.6965161508540504
MYBPC3,0.5517241379310345,0.9142857142857143,0.7857142857142857,0.2972972972972973,35,37,0.6057915057915058
MYO7A,0.30833333333333335,0.9487179487179487,0.9789473684210527,0.5284090909090909,39,176,0.7385635198135199
PMS2,0.6712328767123288,0.98,0.9285714285714286,0.35135135135135137,50,37,0.6656756756756756
PTEN,0.09090909090909091,0.3333333333333333,0.9883720930232558,0.9444444444444444,3,180,0.6388888888888888
RB1,0.6941176470588235,0.921875,0.75,0.36585365853658536,64,41,0.6438643292682926
RET,0.4329896907216495,0.8936170212765957,0.8387096774193549,0.32098765432098764,47,81,0.6073023377987916
SCN1A,0.3602941176470588,0.7777777777777778,0.9854771784232366,0.9161041465766635,63,1037,0.8469409621772206
SCN2A,0.22764227642276422,0.9032258064516129,0.9908536585365854,0.7738095238095238,31,420,0.8385176651305684
SCN8A,0.33663366336633666,0.8717948717948718,0.9774774774774775,0.7640845070422535,39,284,0.8179396894185627
TP53,0.8488372093023255,0.7525773195876289,0.8431372549019608,0.9084507042253521,97,142,0.8305140119064904
TSC2,0.7616822429906542,0.8232323232323232,0.7941176470588235,0.7258064516129032,198,186,0.7745193874226133
VHL,0.6666666666666666,0.45714285714285713,0.900523560209424,0.9555555555555556,35,180,0.7063492063492064
