held_out,precision_benign,recall_benign,precision_patho,recall_patho,n_benign_test,n_patho_test,balanced_accuracy
ABCA4,0.15454545454545454,0.5151515151515151,0.9725085910652921,0.858877086494689,33,659,0.687014300823102
ATP7A,0.8894230769230769,0.9158415841584159,0.5277777777777778,0.4523809523809524,202,42,0.6841112682696842
BRCA1,0.9196428571428571,0.8583333333333333,0.6458333333333334,0.775,360,120,0.8166666666666667
COL1A1,0.28125,0.32926829268292684,0.8868312757201646,0.862,82,500,0.5956341463414634
COL2A1,0.509090909090909,0.43410852713178294,0.8562992125984252,0.8895705521472392,129,489,0.6618395396395111
COL5A1,0.8617511520737328,0.9121951219512195,0.3793103448275862,0.2682926829268293,205,41,0.5902439024390245
ENG,0.6915887850467289,0.6727272727272727,0.6288659793814433,0.648936170212766,110,94,0.6608317214700193
HNF1A,0.36764705882352944,0.7142857142857143,0.9090909090909091,0.6993006993006993,35,143,0.7067932067932068
LDLR,0.46153846153846156,0.2926829268292683,0.9615384615384616,0.9810554803788903,41,739,0.6368692036040793
MLH1,0.38596491228070173,0.5945945945945946,0.9166666666666666,0.825,37,200,0.7097972972972972
MSH2,0.9117647058823529,0.7138157894736842,0.6027397260273972,0.8627450980392157,304,153,0.7882804437564499
MSH6,0.6635514018691588,0.8765432098765432,0.7872340425531915,0.5068493150684932,81,73,0.6916962624725183
MYBPC3,0.5,0.9142857142857143,0.625,0.13513513513513514,35,37,0.5247104247104247
MYO7A,0.29245283018867924,0.7948717948717948,0.926605504587156,0.5738636363636364,39,176,0.6843677156177156
PMS2,0.6266666666666667,0.94,0.75,0.24324324324324326,50,37,0.5916216216216216
PTEN,0.2,0.6666666666666666,0.9942196531791907,0.9555555555555556,3,180,0.8111111111111111
RB1,0.6823529411764706,0.90625,0.7,0.34146341463414637,64,41,0.6238567073170732
RET,0.5972222222222222,0.9148936170212766,0.9285714285714286,0.6419753086419753,47,81,0.778434462831626
SCN1A,0.475,0.6031746031746031,0.9754901960784313,0.9594985535197685,63,1037,0.7813365783471858
SCN2A,0.3670886075949367,0.9354838709677419,0.9946236559139785,0.8809523809523809,31,420,0.9082181259600615
SCN8A,0.3764705882352941,0.8205128205128205,0.9705882352941176,0.8133802816901409,39,284,0.8169465511014806
TP53,0.9315068493150684,0.7010309278350515,0.8253012048192772,0.9647887323943662,97,142,0.8329098301147089
TSC2,0.7264150943396226,0.7777777777777778,0.7441860465116279,0.6881720430107527,198,186,0.7329749103942653
VHL,0.8888888888888888,0.45714285714285713,0.9035532994923858,0.9888888888888889,35,180,0.723015873015873
