,dist3d_A,seqdist_nearest3d,seq_over_3d_ratio,seq_minus_3d_diff,dist3d_cb_A,seqdist_cb,n_pathogenic_within_threshold,disordered_region,plddt
ABCA4,2.5645269208669417,-0.1536799301146982,0.5074557565189981,-0.2526206120124873,-3.628343984503273,0.043080643215002906,1.0607021373033354,0.7082186786801642,-0.0011089059691903834
ATP7A,2.652681107716046,-0.14991244231241835,0.4984149750718372,-0.24551615397979845,-3.721502682869037,0.11856601564020729,1.001040851722415,0.5887516299907831,-0.03557295875087186
BRCA1,2.416497754863113,-0.0961006041319694,0.4004396599284213,-0.17846251525738832,-3.419031399467756,0.09117639334694289,1.0834766359412182,0.5459569815564347,-0.1092098141461985
COL1A1,2.363070936133016,-0.17145656199209147,0.5511688319610316,-0.2582720730597408,-3.5247014762856774,0.1071879681531221,1.134291287603558,0.4188004649032478,-0.07916682498525826
COL2A1,2.584569017254088,-0.15480771071142452,0.494529578888886,-0.25109522906025794,-3.7565159878397694,0.14555550752787008,1.139402725915777,0.4517690107261769,-0.0614178948470406
COL5A1,2.5249074269658367,-0.17093174200031122,0.5379973786967334,-0.26116414838752855,-3.617908444789335,0.10062064994390062,1.009519695044117,0.6640826404934004,-0.04621151715776734
ENG,2.3558479964618853,-0.16424795008502968,0.5092633302534083,-0.2502770908057479,-3.5010151656009363,0.10060873219112242,1.0276299661974813,0.6452110006525499,-0.020609347028538276
HNF1A,2.5158568979752243,-0.17349693211024092,0.5359747309617691,-0.26510277350458594,-3.627357097748066,0.11724145482513126,1.0561444565982885,0.6630678142462931,-0.036975097433724506
LDLR,2.47020076631606,-0.17731410269504524,0.5835827936601625,-0.2668357055921095,-3.545396923716545,0.11907443578319786,0.976110504402848,0.6912171710652886,0.006666144258428328
MLH1,2.5914282964839837,-0.17957271496872249,0.5460017718880049,-0.2742099880594366,-3.683320422907386,0.11699161270067612,1.0559932798572804,0.6592414398485374,-0.024693930512557166
MSH2,2.6536274263576445,-0.17659357213098706,0.564073243630038,-0.27320222652661075,-3.747471913977276,0.10661954245443221,0.9632098932858996,0.6162696773296492,0.06830041569095309
MSH6,2.3315030926277998,-0.18752410337713243,0.5274355679071119,-0.273062969661563,-3.4544253500455993,0.1341775527030293,1.0486480993615113,0.6482030011068065,-0.060741602564555006
MYBPC3,2.5760762283720737,-0.161123424270551,0.5108695348725465,-0.25533849035020406,-3.6929578133957035,0.11189433248251918,1.0492177746590532,0.6450370736280565,-0.038500372059372026
MYO7A,2.5606814205583954,-0.16086006637607786,0.5144345747376798,-0.25464412908213885,-3.6696928235928388,0.12274654743913084,1.0870196406240331,0.6549722179401616,-0.04243694728234956
PMS2,2.5583322340459334,-0.1744936534301434,0.5399906255447839,-0.26672498224200225,-3.6680191777421522,0.1001361345070558,1.045229801516079,0.6577995495066294,-0.04106721842788815
PTEN,2.5883111921370716,-0.16803683990175436,0.5387148539056251,-0.2625609958355998,-3.6884593596294275,0.10674072482200965,1.0333496087228013,0.6440539766232778,-0.043800056607132556
RB1,2.5217178143858994,-0.15832504912436715,0.5145682774870279,-0.2500909933066085,-3.624532865295443,0.09619862165696572,1.041506119338089,0.6318087481617798,-0.04186184386255328
RET,2.542210112583492,-0.1579823544342181,0.503783560132302,-0.2505903483733844,-3.7195958594882415,0.10676053618747292,1.0230997070603531,0.6607793237130684,-0.055362761613598654
SCN1A,2.4228498429380445,-0.13913967526498966,0.43757779457225426,-0.2341523453626171,-3.54532060356465,0.07560954642146367,0.8508023207947227,0.7167331057280607,-0.005022916478382931
SCN2A,2.5511818682105085,-0.15038863184663676,0.46609668126897424,-0.24568836740280206,-3.653739355053547,0.0999105457040438,1.0183425406260873,0.6983921795063291,0.006009636178680665
SCN8A,2.5925250441297134,-0.1504106970537385,0.4366310953008545,-0.24744797551680148,-3.6958220411764753,0.12788580900003116,1.0564858238611379,0.6779841482049923,-0.013912106887685816
TP53,2.6156754603185783,-0.1804341018487792,0.5392388244173253,-0.2750088466646037,-3.7022431869076438,0.09567008528907847,1.063568471607884,0.7020545858864554,0.0008724782975366619
TSC2,2.5555124901300856,-0.18465310456679107,0.5421863961130707,-0.27726250773685085,-3.623145367059825,0.11905860986392049,1.0823540422176106,0.6115077241209125,-0.061961319147563566
VHL,2.545205331424356,-0.1609012710157626,0.5111145226040384,-0.25377387801289075,-3.6443104226803014,0.10311874796070317,1.0928282237326672,0.6411751598071896,-0.03264715821210752
