,dist3d_A,seqdist_nearest3d,seq_over_3d_ratio,seq_minus_3d_diff,dist3d_cb_A,seqdist_cb,n_pathogenic_within_threshold,disordered_region
ABCA4,2.565296966991603,-0.15386288388789765,0.5079758354933829,-0.25283471946770736,-3.628220261310626,0.043170665512155856,1.0604381922655663,0.7088266819674812
ATP7A,2.665877687051946,-0.14540049765313245,0.49516058172601174,-0.2414372347599168,-3.718957709611832,0.1196158518420154,0.9958877743570685,0.6021770995994523
BRCA1,2.4609738991339287,-0.08974530787847793,0.39940197552550105,-0.17358374793887016,-3.419332755033523,0.09761561455397207,1.0720813240455163,0.5962060434956207
COL1A1,2.409969493148851,-0.1649273989281944,0.5487355642199383,-0.2533735636699539,-3.5297819884797748,0.11334133227258772,1.12552835219288,0.4462633757123238
COL2A1,2.624468093756645,-0.14807846091067312,0.4928650981847943,-0.24576662436212826,-3.76467897860056,0.1474022629809461,1.133934350174893,0.4727321559436952
COL5A1,2.540588043687475,-0.1647908240656896,0.5347703699576147,-0.25552007330050885,-3.61416461676121,0.09893836905403854,1.0047573383404975,0.6831077925652315
ENG,2.383972937795648,-0.16625131388645684,0.5149298455327938,-0.2533078727321202,-3.518252755696,0.105373504726305,1.0263892753149997,0.6536239083348917
HNF1A,2.532225856480362,-0.17006264827569245,0.5344126392751568,-0.262224158772427,-3.6268343042165156,0.11892065106219703,1.052445118817636,0.678065244907916
LDLR,2.4731039112790096,-0.17884725612661379,0.5855495073606312,-0.2684843350636379,-3.550930317067592,0.11954796161134865,0.9768940598261242,0.6887525826989936
MLH1,2.614262747888878,-0.18041283623186224,0.5504249388179568,-0.2758776022963871,-3.6939003321348975,0.12088604004553667,1.054634555826143,0.6698741993759115
MSH2,2.617965126725372,-0.1819906308300359,0.5654076494148875,-0.27737020327194184,-3.743581831686181,0.10231432883704915,0.9711627817076529,0.5895510893930949
MSH6,2.367507631794552,-0.18247494007879653,0.5250393874841576,-0.26926518385199943,-3.4626562308765747,0.13826543547248077,1.04117105258033,0.6716221227161953
MYBPC3,2.6114063275250836,-0.15864498937519,0.509326839448259,-0.25411099172167506,-3.7118046045732926,0.11602229038507302,1.0443379047965842,0.6608065764077972
MYO7A,2.5905255295417366,-0.1590243308136001,0.516066480763235,-0.25386881286606144,-3.6785178792363706,0.12676122490138886,1.0836297259320624,0.6722657190320267
PMS2,2.5776432098633717,-0.17028929081278535,0.5373401733361897,-0.26316898332576877,-3.669284238525341,0.10173724198081623,1.0408533869067074,0.674547442348112
PTEN,2.616325986978737,-0.16507873594737268,0.5401834202956239,-0.2605848768186514,-3.6966201227940902,0.10920087780718951,1.028784577570808,0.6617458609486688
RB1,2.543838288179584,-0.15437427497350403,0.5142344120290142,-0.2468982508385503,-3.627918692039836,0.09757979221510714,1.0372345767361009,0.6485617706248387
RET,2.573376975683686,-0.15317548924886484,0.5018486555833013,-0.24685926594751095,-3.725535460247317,0.11007099283895057,1.0171470205950959,0.6829114616615849
SCN1A,2.435090531635875,-0.14088286093656754,0.44094030265050516,-0.2363868863227936,-3.5540588552185097,0.07796769551842181,0.8503313643746957,0.7186267968441434
SCN2A,2.5464452376977675,-0.15043347975026714,0.46556997188754606,-0.24555939386929393,-3.6516622892196184,0.09880924992643035,1.0186351587262368,0.6963628595427463
SCN8A,2.5944052921705487,-0.14850629314371278,0.43538795700732286,-0.2455948700512007,-3.691248249683732,0.12766486656491702,1.0551940633956753,0.6836110152341991
TP53,2.627673153144236,-0.18314344358149373,0.5435211240112161,-0.27816859388071363,-3.7140899840700117,0.09842485081040055,1.0645539547238312,0.701984677411938
TSC2,2.582203155292181,-0.17907482616169595,0.5395839837253694,-0.27258543399331214,-3.6223158800771023,0.12226477553398503,1.0751180453162716,0.6367752632774341
VHL,2.5588380045844024,-0.1571085770679854,0.5084841064049448,-0.2504387271448423,-3.643586179755624,0.10373523682498402,1.0900010574861105,0.6549960579114169
