,dist3d_A,seqdist_nearest3d,seq_over_3d_ratio,seq_minus_3d_diff,dist3d_cb_A,seqdist_cb,n_pathogenic_within_threshold,disordered_region,plddt
ABCA4,0.21774759594102253,0.01126864098732957,0.023196832177578827,0.01036473915125058,0.3699390587187017,0.01622157992490971,0.20604619003900293,0.05424607005774727,0.0909692930024568
ATP7A,0.22377457076566823,0.011401422717418326,0.027105209546022743,0.012972895290970073,0.37814715399217724,0.017525176474225825,0.19616832693944886,0.03865952390085455,0.09424572037321416
BRCA1,0.2302290161657906,0.013587315158871714,0.03197701376491645,0.008654506737844493,0.3754260388529466,0.017078975640387708,0.22479414997118977,0.04591474665731849,0.05233823705073417
COL1A1,0.23148187581254162,0.008926676579717224,0.023201831604271805,0.008209131467744652,0.4009288837050764,0.012094594617268174,0.2259834017411006,0.01917273628476233,0.07000086818751725
COL2A1,0.22866899487088196,0.006831815818618867,0.017720195206789777,0.007783281251109917,0.39188206120290286,0.008641182541108761,0.2485260389374433,0.02080278016635791,0.06914365000478671
COL5A1,0.21579403291182456,0.009571715558263178,0.023309670131405297,0.010063458176943454,0.38307986657360144,0.013539281077950632,0.194981483544496,0.05968448025120647,0.08997601177430894
ENG,0.23105815024847073,0.011613911289302472,0.023098747832224566,0.009453708379475633,0.38535361311536126,0.013163954382673147,0.1955407941304718,0.048365175796339144,0.08235194482568121
HNF1A,0.2230913284661143,0.011020366984439867,0.025574139051433346,0.009401634473410228,0.3739024073249723,0.014835430473431388,0.20221125707342388,0.05614232262966095,0.08382111352311378
LDLR,0.2228463507689124,0.01302357665310755,0.029724796399248684,0.0109047812423751,0.367087693341665,0.015734085725369884,0.19828080886171773,0.05399667231980225,0.08840123468780131
MLH1,0.2241161965963358,0.0124564364489364,0.021333662603095844,0.008850349765990117,0.3748356003439726,0.013240392287258323,0.2073041779698914,0.05142808222935699,0.08643510175516249
MSH2,0.22811227912645832,0.010477326904839664,0.020433432361662476,0.008688119193929986,0.3929620475957638,0.013230074047151664,0.19295718088369715,0.038947818885291564,0.09419172100120536
MSH6,0.23017202599619485,0.009286969977023874,0.022776864011775234,0.008436402644827036,0.3735665161791442,0.013625383085524818,0.20597072249975043,0.054029478426984835,0.08213563717877481
MYBPC3,0.2293221135087206,0.009127048046279014,0.02578610293695416,0.010362064869808141,0.37340821062569374,0.013035603815447465,0.20486031459529325,0.05115383588688945,0.08294470571491427
MYO7A,0.2134214373176922,0.011077993826387744,0.023875948745717416,0.009889821412494169,0.3812916798928849,0.014474386662619161,0.21389159932125495,0.05048202710165044,0.0815951057192989
PMS2,0.22818258989244192,0.010322967163727338,0.02553166333290483,0.009270879003048323,0.37833589314723487,0.014029810247079747,0.2007193436565639,0.05265203709218575,0.08095481646481341
PTEN,0.2259219412969907,0.011431312337991875,0.026867044303311993,0.00900769500052339,0.3755506027477516,0.014239554817313555,0.2030134692781267,0.053109939013926945,0.0808584412040633
RB1,0.22542033353785323,0.010078707840099989,0.02324486245544562,0.00788446158592144,0.3810172707378825,0.013783305679338576,0.1998950194079841,0.04997017499384404,0.08870586376163035
RET,0.22384797741658985,0.01040964771979727,0.024355428012336734,0.008031740894467235,0.38143191437773516,0.0142129010838787,0.20285286726683524,0.049499696145290435,0.08535782708306956
SCN1A,0.21362368489986666,0.011909717810593905,0.027141342892104646,0.01229585760058823,0.37432513343750096,0.02078504048165064,0.16768399160970918,0.06898496933897448,0.1032502619290113
SCN2A,0.22246760683413566,0.011504692253167989,0.023441328038011345,0.007170831127063023,0.380118384776784,0.015204487568998917,0.19728411789630224,0.056360542457851624,0.08644800904768528
SCN8A,0.22010595008614817,0.011434998115062064,0.02246741486426193,0.00823261656759848,0.38216208712199495,0.015717012102588,0.20528711797683785,0.05529346509423097,0.07929933807127743
TP53,0.2147308377943418,0.00903314072589497,0.02233610665344689,0.008210909878288217,0.3722666326490727,0.012635754836645384,0.21241454145047794,0.05158993545583717,0.09678214055599497
TSC2,0.22335473365004122,0.011322577446617616,0.022558256157298378,0.005514970585039317,0.37571153275290314,0.01408231368450593,0.21505805716384535,0.0537206652288397,0.07867689333090933
VHL,0.2215051004207085,0.010887921187057125,0.025366528414525136,0.009814871240795522,0.3805779157866399,0.014586680954146685,0.2038344926288808,0.04718762998382648,0.08623885938341994
