,dist3d_A,seqdist_nearest3d,seq_over_3d_ratio,seq_minus_3d_diff,dist3d_cb_A,seqdist_cb,n_pathogenic_within_threshold,disordered_region
ABCA4,0.2814500548467959,0.029439815511825777,0.042980143293930115,0.02009328966306544,0.3541772918587027,0.032025312698535285,0.20380707631454636,0.03602701581259842
ATP7A,0.28431516825295483,0.02689391919661668,0.04404542500885481,0.02339174558876213,0.3779806526968321,0.0296476294961923,0.18961346531061835,0.0241119944491687
BRCA1,0.2744253127996951,0.024048433596718738,0.04936630381328041,0.02099231661048314,0.36609562255752326,0.029475585260442024,0.20753039240333707,0.02806603295852036
COL1A1,0.2961882697598092,0.020769697965745654,0.036334925351591926,0.019273177586561732,0.37031612254766094,0.025850349544253425,0.2134756024614463,0.017791854782930928
COL2A1,0.3016960402528415,0.021671230643709863,0.035954287247005424,0.016716766496450028,0.3818193177609629,0.01966643064712514,0.20544598618552645,0.017029940766378746
COL5A1,0.29256115564854285,0.027856667854532804,0.04412382333397842,0.020146956781443476,0.3603504602978587,0.024718261378170438,0.1940783641820226,0.03616431052345084
ENG,0.3136839556223407,0.029869961772388695,0.04137481636800426,0.019168433116229212,0.3560571320388773,0.028367208446420204,0.1791919608027737,0.032286531832965905
HNF1A,0.2908469925043862,0.027731735752536367,0.04595343078918246,0.02105032969114933,0.36428055922014707,0.029600098000963606,0.18294673952271448,0.03759011451892055
LDLR,0.2862557717381372,0.029643520755238968,0.05320489856169882,0.02254730273160512,0.3668226852138332,0.025088129022808266,0.17810667691910656,0.038331015057571895
MLH1,0.2864797101003531,0.02729628444263326,0.040908641539901446,0.01818429228847746,0.3618617219268842,0.030246864969354238,0.20312255718507338,0.03189992754732288
MSH2,0.2970614748532438,0.029946283116990716,0.04098527074596028,0.02143645227899209,0.3809046878375216,0.024050648573929242,0.17685775852032412,0.02875742407303818
MSH6,0.2852785711922179,0.025475113937773842,0.04294241465448406,0.02009207195174646,0.3679640941566553,0.02994383015486416,0.19212260549478016,0.03618129845747816
MYBPC3,0.291391036502913,0.026237138284800596,0.03981882733565359,0.017257052626856915,0.37280789973693257,0.02874123778495666,0.18975548266621223,0.03399132506167451
MYO7A,0.28915171268934825,0.02612921389954297,0.041741303035758834,0.01806640775281669,0.3656064915836199,0.02771707129624834,0.19809279013283226,0.03349500960983278
PMS2,0.29562696175364317,0.02866767799381716,0.042590170555363925,0.020582732670417887,0.36527551954250026,0.026504158003850826,0.18856761679289916,0.03218516268750777
PTEN,0.2909190996432806,0.02663093351838204,0.04329772170879182,0.018667565402903593,0.35985355269519537,0.02900082667265094,0.19705054761603816,0.03457975274275755
RB1,0.28478313942432,0.027979159084820578,0.04197752701339354,0.020687697301045242,0.37441906296987965,0.03166994435392058,0.19165291220866532,0.02683055764395519
RET,0.28622974441428667,0.029611241388944144,0.041946604167430714,0.020186204260951093,0.3813077214040431,0.027267438750151165,0.18172327684016276,0.0317277687740303
SCN1A,0.2897382791185836,0.03478319454413297,0.04728923810174236,0.024125591652628148,0.35417141193491664,0.03396633049413136,0.16646077786148236,0.04946517629238256
SCN2A,0.2956558493021023,0.027083920895870108,0.04256478285087373,0.01732450563394607,0.3541310260099722,0.030327857500891037,0.19362293437243308,0.039289123433911444
SCN8A,0.29142719154199515,0.026399702014101682,0.03955239101341285,0.01783370522214581,0.3586218772338946,0.028805218176938492,0.19784873114303309,0.0395111836544784
TP53,0.28344146136981896,0.027643054021300517,0.039819567666763665,0.020290487950694013,0.3637693684825205,0.026771470968597392,0.20133181193473032,0.036932777605574584
TSC2,0.2843644490020402,0.02803645188950599,0.04049540041692388,0.01821204972873702,0.3579317443213179,0.027943941865048835,0.21004006011194207,0.03297590266448415
VHL,0.3013065549903306,0.026348872220583634,0.040230023343064004,0.017346038793706747,0.35932154157981416,0.025461284762200373,0.19293862863269184,0.03704705567760875
