gene,status,reason,n_mismatches,n_pathogenic,n_benign,bal_acc_rf,patho_recall_rf,benign_recall_rf,bal_acc_logreg,patho_recall_logreg,benign_recall_logreg
FLNC,structure_failed,AlphaFold sequence length (2692) != UniProt canonical length (2725) -- likely fragment/isoform mismatch,,,,,,,,,
SCN5A,numbering_mismatch,,1152.0,,,,,,,,
ATP7B,tested,,,209.0,28.0,0.7758031442241968,0.8373205741626795,0.7142857142857143,0.7660628844839371,0.7464114832535885,0.7857142857142857
BAP1,tested,,,28.0,28.0,0.75,0.5714285714285714,0.9285714285714286,0.7142857142857142,0.5714285714285714,0.8571428571428571
RAF1,tested,,,52.0,24.0,0.9038461538461539,0.8076923076923077,1.0,0.8637820512820513,0.7692307692307693,0.9583333333333334
TSC1,tested,,,23.0,87.0,0.7103948025987006,0.4782608695652174,0.9425287356321839,0.7001499250374813,0.43478260869565216,0.9655172413793104
DSP,structure_failed,AlphaFold sequence length (2272) != UniProt canonical length (2871) -- likely fragment/isoform mismatch,,,,,,,,,
APC,structure_failed,AlphaFold API lookup failed: HTTP Error 404: Not Found,,,,,,,,,
CDH1,tested,,,22.0,159.0,0.5343053173241853,0.18181818181818182,0.8867924528301887,0.4716981132075472,0.0,0.9433962264150944
WT1,numbering_mismatch,,941.0,,,,,,,,
MYH7,tested,,,389.0,21.0,0.7395029991431019,0.8123393316195373,0.6666666666666666,0.7601297588444118,0.7583547557840618,0.7619047619047619
GAA,tested,,,251.0,21.0,0.715993170176437,0.8605577689243028,0.5714285714285714,0.7257636122177955,0.7848605577689243,0.6666666666666666
SERPINA1,tested,,,21.0,47.0,0.5521783181357649,0.38095238095238093,0.723404255319149,0.5283687943262412,0.3333333333333333,0.723404255319149
F9,tested,,,209.0,21.0,0.7713602187286397,0.9712918660287081,0.5714285714285714,0.7284119389382547,0.9330143540669856,0.5238095238095238
CACNA1S,tested,,,20.0,71.0,0.7359154929577465,0.5,0.971830985915493,0.7359154929577465,0.5,0.971830985915493
COL3A1,tested,,,581.0,20.0,0.7414371772805508,0.9328743545611016,0.55,0.6396729776247848,0.9793459552495697,0.3
POLG,tested,,,121.0,19.0,0.7351022183558069,0.628099173553719,0.8421052631578947,0.692257503262288,0.5950413223140496,0.7894736842105263
RAD51C,tested,,,17.0,70.0,0.715546218487395,0.5882352941176471,0.8428571428571429,0.7226890756302521,0.5882352941176471,0.8571428571428571
CDKN2A,numbering_mismatch,,155.0,,,,,,,,
PKD2,tested,,,18.0,17.0,0.7205882352941176,0.5,0.9411764705882353,0.6650326797385621,0.3888888888888889,0.9411764705882353
