gene,length,length_ok,mismatches,n_patho,n_benign,n_vus,n_flagged,pct_flagged,n_low_conf_flagged
ABCA4,2273,True,0,659,33,938,244,26.01279317697228,10
ATP7A,1500,True,0,42,202,670,38,5.6716417910447765,1
COL1A1,1464,True,0,500,82,596,54,9.060402684563758,11
COL2A1,1487,True,0,489,129,666,24,3.6036036036036037,2
COL5A1,1838,True,0,41,205,914,26,2.8446389496717726,2
ENG,658,True,0,94,110,420,92,21.904761904761905,2
HNF1A,631,True,0,143,35,332,28,8.433734939759036,2
LDLR,860,True,0,739,41,857,322,37.57292882147024,6
MLH1,756,True,0,200,37,1774,391,22.040586245772268,8
MSH2,934,True,0,153,304,1724,308,17.865429234338748,0
MSH6,1360,True,0,73,81,3988,257,6.444332998996991,0
MYBPC3,1274,True,0,37,35,1617,127,7.854050711193568,2
MYO7A,2215,True,0,176,39,1353,132,9.75609756097561,1
PMS2,862,True,0,37,50,2539,122,4.8050413548641195,4
RB1,928,True,0,41,64,1475,47,3.1864406779661016,0
RET,1114,True,0,81,47,1861,95,5.104782375067169,0
SCN1A,2009,True,0,1037,63,1320,270,20.454545454545453,20
SCN2A,2005,True,0,420,31,1140,96,8.421052631578947,8
SCN8A,1980,True,0,284,39,990,69,6.96969696969697,5
TSC2,1807,True,0,186,198,3776,350,9.26906779661017,8
VHL,213,True,0,180,35,382,90,23.56020942408377,0
